Date,Ecopetrol,Bancolombia,Grupo Aval,Tecnoglass
2020-01-02,9.682724952697754,28.619747161865234,5.9753923416137695,7.47830057144165
2020-01-03,9.763771057128906,28.505718231201172,5.982184410095215,7.440907955169678
2020-01-06,9.725631713867188,28.619747161865234,6.002556800842285,7.47830057144165
2020-01-07,9.773305892944336,28.764863967895508,5.948232650756836,7.440907955169678
2020-01-08,9.697025299072266,28.9929141998291,6.016132354736328,7.347431659698486
2020-01-09,9.749467849731445,28.23103141784668,6.009345054626465,7.403518199920654
2020-01-10,9.87342357635498,27.987438201904297,6.002556800842285,7.440907955169678
2020-01-13,9.987841606140137,28.24658203125,6.009345054626465,7.422213077545166
2020-01-14,9.820981979370117,28.059995651245117,6.029715061187744,7.403518199920654
2020-01-15,9.754237174987793,27.992616653442383,5.961813449859619,7.3006911277771
2020-01-16,9.730400085449219,28.106643676757812,5.893910884857178,7.41286563873291
2020-01-17,9.71133041381836,28.484987258911133,5.893910884857178,7.356778621673584
2020-01-21,9.558770179748535,28.09627914428711,5.839590072631836,7.366125583648682
2020-01-22,9.5206298828125,28.31395721435547,5.92786169052124,7.338081359863281
2020-01-23,9.353769302368164,28.049636840820312,5.887120246887207,7.3006911277771
2020-01-24,9.29655933380127,28.002986907958984,5.805638313293457,7.506344318389893
2020-01-27,8.943769454956055,27.287755966186523,5.649463176727295,7.356778621673584
2020-01-28,8.98190689086914,27.686819076538086,5.737738609313965,7.347431659698486
2020-01-29,8.929465293884277,27.67646598815918,5.737738609313965,7.281996250152588
2020-01-30,8.919929504394531,27.62982177734375,5.77180814743042,7.281996250152588
2020-01-31,8.819812774658203,27.1944580078125,5.758179187774658,7.076340198516846
2020-02-03,8.824580192565918,27.469148635864258,5.77180814743042,7.020253658294678
2020-02-04,8.991440773010254,28.3035945892334,5.867209434509277,7.076340198516846
2020-02-05,9.039116859436035,28.469444274902344,5.914910793304443,7.263299942016602
2020-02-06,8.977139472961426,28.759685516357422,5.901279926300049,7.244603633880615
2020-02-07,8.934233665466309,28.713037490844727,5.826320648193359,7.253952503204346
2020-02-10,8.896093368530273,28.536815643310547,5.785436630249023,7.244603633880615
2020-02-11,9.158303260803223,28.277677536010742,5.826320648193359,7.3287353515625
2020-02-12,9.487258911132812,28.484987258911133,5.880837440490723,7.356778621673584
2020-02-13,9.444350242614746,28.479806900024414,5.921724319458008,7.39417028427124
2020-02-14,9.310861587524414,28.402061462402344,5.914910793304443,7.515693664550781
